source,author,title,description,url,urlToImage,publishedAt,content,date,sentiment_score
"{'id': None, 'name': 'BusinessLine'}",Anupama Ghosh,"Sensex, Nifty post marginal gains amid mixed trading session","Markets displayed modest recovery in afternoon trading on Tuesday, with both benchmark indices managing to reverse morning losses and move into positive territory despite persistent foreign institutional investor outflows and ongoing trade uncertainty.",https://www.thehindubusinessline.com/markets/stock-markets/sensex-nifty-post-marginal-gains-amid-mixed-trading-session/article69868501.ece,https://bl-i.thgim.com/public/incoming/7idp5y/article69868532.ece/alternates/LANDSCAPE_1200/PO20_Abstract_chart.jpg,2025-07-29 08:05:16+00:00,"Markets displayed modest recovery in afternoon trading on Tuesday, with both benchmark indices managing to reverse morning losses and move into positive territory despite persistent foreign instituti… [+2209 chars]",2025-07-29,0.00011735442603821866
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Reuters,"European stocks rise amid earnings flurry, investors asses US-EU trade deal","European equities experienced a slight increase, driven by EssilorLuxottica's gains amidst corporate results and the U.S.-EU trade pact's implications. The STOXX 600 index rose, with Germany's DAX and France's CAC also climbing. Philips saw a boost after lowe…",https://economictimes.indiatimes.com/markets/stocks/news/european-stocks-rise-amid-earnings-flurry-investors-asses-us-eu-trade-deal/articleshow/122970588.cms,"https://img.etimg.com/thumb/msid-122970645,width-1200,height-630,imgsize-90922,overlay-etmarkets/articleshow.jpg",2025-07-29 07:54:27+00:00,"(What's moving Sensex and Nifty Track latest market news, stock tips, Budget 2025, Share Market on Budget 2025 and expert advice, on ETMarkets. Also, ETMarkets.com is now on Telegram. For fastest new… [+330 chars]",2025-07-29,-0.4043028652667999
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Nishtha Awasthi,"Colab Platforms logs 30-day upper circuit streak, surges 888% from 52-week low","Colab Platforms’ continuous rally has been fueled by strategic corporate moves, including recent stock splits designed to boost liquidity and attract more investor interest.",https://economictimes.indiatimes.com/markets/stocks/news/colab-platforms-logs-30-day-upper-circuit-streak-surges-888-from-52-week-low/articleshow/122970579.cms,"https://img.etimg.com/thumb/msid-122970551,width-1200,height-630,imgsize-6218,overlay-etmarkets/articleshow.jpg",2025-07-29 07:53:41+00:00,"(What's moving Sensex and Nifty Track latest market news, stock tips, Budget 2025, Share Market on Budget 2025 and expert advice, on ETMarkets. Also, ETMarkets.com is now on Telegram. For fastest new… [+330 chars]",2025-07-29,-5.783320844443551e-08
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Riya Sharma,Tata Motors shares down 42% from peak: Should you buy the dip in this auto major's stock?,"Tata Motors faces investor patience test as it trades at a significant discount. Technically range-bound, analysts suggest monitoring key levels for potential breakouts. JLR's tariff relief offers a glimmer of hope, but margin concerns persist. The stock's di…",https://economictimes.indiatimes.com/markets/stocks/news/tata-motors-shares-down-42-from-peak-should-you-buy-the-dip-in-this-auto-majors-stock/articleshow/122969818.cms,"https://img.etimg.com/thumb/msid-122969787,width-1200,height-630,imgsize-6428,overlay-etmarkets/articleshow.jpg",2025-07-29 07:16:52+00:00,"Once a bellwether of Indias auto rally, Tata Motors now finds itself trading at a steep 42% discount to its record high. After a bruising year of tariff shocks, margin pressures, and waning momentum,… [+6084 chars]",2025-07-29,0.959146223962307
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,"Cerity Partners LLC Buys Shares of 5,058 iShares India 50 ETF (NASDAQ:INDY)","Cerity Partners LLC bought a new stake in iShares India 50 ETF (NASDAQ:INDY – Free Report) during the first quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission (SEC). The firm bought 5,058 shares of the …",https://www.etfdailynews.com/2025/07/29/cerity-partners-llc-buys-shares-of-5058-ishares-india-50-etf-nasdaqindy/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/ishares-india-50-etf-logo-1200x675.png?v=20210709130859&w=240&h=240&zc=2,2025-07-29 07:09:02+00:00,"Cerity Partners LLC bought a new stake in iShares India 50 ETF (NASDAQ:INDY – Free Report) during the first quarter, according to the company in its most recent 13F filing with the Securities and Exc… [+2736 chars]",2025-07-29,-0.9999833432084415
"{'id': None, 'name': 'BusinessLine'}",BL Mumbai Bureau,Bank of India Mutual Fund launches Mid Cap Equity scheme,The fund aims to generate long-term capital appreciation by investing predominantly in equity and equity-related instruments of mid-cap companies,https://www.thehindubusinessline.com/markets/bank-of-india-mutual-fund-launches-mid-cap-equity-scheme/article69868308.ece,https://bl-i.thgim.com/public/incoming/j9hqdu/article69868307.ece/alternates/LANDSCAPE_1200/IMG202507281247523.jpg,2025-07-29 07:08:56+00:00,"Bank of India Mutual Fund announced the launch of its Mid Cap Fund on Monday, with the new fund offering (NFO) opening on July 31, 2025, and closing on August 14, 2025. The open-ended equity scheme w… [+1319 chars]",2025-07-29,-0.99836070478068
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Neha Vashishth,Nifty at crucial juncture: What’s weighing on the markets?,"Markets are range-bound due to weak earnings, global trade tensions, and a lack of sectoral leadership. The India-UK FTA offers opportunities for textiles, leather, and pharma, but the US remains a key pharma market. Nifty's 25,000 mark is crucial; holding it…",https://economictimes.indiatimes.com/markets/expert-view/nifty-at-crucial-juncture-whats-weighing-on-the-markets/articleshow/122968960.cms,"https://img.etimg.com/thumb/msid-122968934,width-1200,height-630,imgsize-29936,overlay-etmarkets/articleshow.jpg",2025-07-29 06:43:22+00:00,"Markets remain range-bound amid weak earnings, global trade tensions, and lack of sectoral leadership. In this exclusive conversation, Kranthi Bathini breaks down the current market mood, the impact … [+4643 chars]",2025-07-29,-0.9923170122783631
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Riya Sharma,Tata Motors shares down 42% from peak: Should you buy the dip in this auto major's stock?,"Tata Motors' shares have declined 42% from their peak, prompting analysis of whether it's a buying opportunity or a value trap. Technical indicators suggest a range-bound movement, with analysts advising caution until a clear breakout occurs. The U.S.-EU tari…",https://economictimes.indiatimes.com/markets/stocks/news/tata-motors-shares-down-42-from-peak-should-you-buy-the-dip-in-this-auto-majors-stock/articleshow/122968182.cms,"https://img.etimg.com/thumb/msid-122968164,width-1200,height-630,imgsize-84765,overlay-etmarkets/articleshow.jpg",2025-07-29 06:15:46+00:00,"Once a bellwether of Indias auto rally, Tata Motors now finds itself trading at a steep 42% discount to its record high. After a bruising year of tariff shocks, margin pressures, and waning momentum,… [+6084 chars]",2025-07-29,0.959146223962307
"{'id': None, 'name': 'BusinessLine'}",Gurumurthy K & BL Research Bureau,"Nifty Bank Prediction Today – July 29, 2025: Nifty Bank July Futures: Support ahead. Go short on a break below it","Nifty Bank index outlook: Vulnerable to break crucial support at 55,900, resistance at 56,200, trade strategy included.",https://www.thehindubusinessline.com/portfolio/technical-analysis/nifty-bank-prediction-today-july-29-2025-nifty-bank-july-futures-support-ahead-go-short-on-a-break-below-it/article69868129.ece,https://bl-i.thgim.com/public/incoming/lvuuot/article69868131.ece/alternates/LANDSCAPE_1200/IMG_PO16_Candle_2_2_1_GTE482N4.jpg,2025-07-29 05:33:23+00:00,"Nifty Bank index is trading lower. The index rose to a high of 56,148.95 and then has come off from there giving back all the gains. It is currently trading at 56,970, down 0.2 per cent. The advances… [+1263 chars]",2025-07-29,-0.9998694905807497
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ET Now,"Shouldn’t worry about 1-2% decline at index level, all this is temporary: Deepak Shenoy","Deepak Shenoy of Capitalmind MF suggests recent market volatility stems from factors like lacking US trade deals and financial sector anxieties. Despite these concerns and potential job losses from new technologies, Shenoy believes the underlying economy rema…",https://economictimes.indiatimes.com/markets/expert-view/shouldnt-worry-about-1-2-decline-at-index-level-all-this-is-temporary-deepak-shenoy/articleshow/122967078.cms,"https://img.etimg.com/thumb/msid-122967182,width-1200,height-630,imgsize-50582,overlay-etmarkets/articleshow.jpg",2025-07-29 05:31:15+00:00,"Deepak Shenoy, Founder &amp; CEO, Capitalmind MF, says despite market dips driven by financial sector concerns, fluctuating government spending, and initial job losses from new technologies, the econ… [+5331 chars]",2025-07-29,0.44414466619491577
"{'id': None, 'name': 'BusinessLine'}",Gurumurthy K & BL Research Bureau,"Nifty Prediction Today – July 29, 2025: Nifty 50 July Futures: Resistance holds well. Go short","Nifty 50 outlook and futures analysis with support, resistance levels, and trade strategy for traders in the market.",https://www.thehindubusinessline.com/portfolio/technical-analysis/nifty-prediction-today-july-29-2025-nifty-50-july-futures-resistance-holds-well-go-short/article69868086.ece,https://bl-i.thgim.com/public/incoming/y91z56/article69854299.ece/alternates/LANDSCAPE_1200/IMG_PO06_bulding_2_1_FFEJDPA0.jpg,2025-07-29 05:10:14+00:00,"Nifty 50 has risen back well after opening the day with a gap-down. The index opened the day at 24,609.65 and fell to a low of 24,598.60. From there it has rose back to make a high of 24,727.15. 
Th… [+1578 chars]",2025-07-29,-0.7991106621921062
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Reuters,"SoftBank-backed Lenskart files papers for Rs 2,150 crore issue","Lenskart, India’s largest eyewear retailer, has filed for an initial public offering that will include a fresh issue of shares worth Rs 2,150 crore ($247.6 million), according to its draft prospectus filed on Tuesday.",https://economictimes.indiatimes.com/markets/ipos/fpos/eyewear-retailer-lenskart-files-papers-for-rs-2150-crore-ipo/articleshow/122966616.cms,"https://img.etimg.com/thumb/msid-122966654,width-1200,height-630,imgsize-15110,overlay-etmarkets/articleshow.jpg",2025-07-29 04:59:19+00:00,"(What's moving Sensex and Nifty Track latest market news, stock tips, Budget 2025, Share Market on Budget 2025 and expert advice, on ETMarkets. Also, ETMarkets.com is now on Telegram. For fastest new… [+330 chars]",2025-07-29,-0.9999765808033771
"{'id': None, 'name': 'BusinessLine'}",Anupama Ghosh,Markets open mixed amid trade deal uncertainty and FII outflows,The benchmark indices reflected investor uncertainty as the August 1 tariff deadline approaches without a breakthrough in trade talks between India and the United States,https://www.thehindubusinessline.com/markets/markets-open-mixed-amid-trade-deal-uncertainty-and-fii-outflows/article69868007.ece,https://bl-i.thgim.com/public/incoming/njcua3/article69854310.ece/alternates/LANDSCAPE_1200/IMG_PO16_Candle_2_2_1_GTE482N4.jpg,2025-07-29 04:43:21+00:00,"Markets opened on a cautious note Tuesday morning, with the Sensex opening at 80,620.25, below its previous close of 80,891.02, but recovering slightly to 80,886.74 at 9:50 am, down 4.28 points or 0.… [+4646 chars]",2025-07-29,0.9917430717032403
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",PTI,Rupee falls 18 paise to 86.88 against US dollar in early trade,The Indian Rupee weakened against the US dollar in early trading. This decline occurred due to month-end dollar demand and continuous foreign fund outflows. Importers' demand for dollars kept the American currency strong. Domestic equities showed a muted tren…,https://economictimes.indiatimes.com/markets/forex/rupee-falls-18-paise-to-86-88-against-us-dollar-in-early-trade/articleshow/122966258.cms,"https://img.etimg.com/thumb/msid-122966299,width-1200,height-630,imgsize-86398,overlay-etmarkets/articleshow.jpg",2025-07-29 04:40:40+00:00,The rupee depreciated 18 paise to 86.88 against the US dollar in early trade on Tuesday as month-end dollar demand and sustained foreign fund outflows weighed on the local unit.Forex traders said the… [+1598 chars],2025-07-29,-0.9988622378441505
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Reuters,Euro-fuelled dollar surge adds to headwinds facing rupee,"The Indian rupee is anticipated to weaken due to a stronger dollar index following a euro decline, influenced by the US-EU trade deal. Rising oil prices and continuous foreign portfolio outflows add pressure. The rupee is expected to open around 86.75-86.77 a…",https://economictimes.indiatimes.com/markets/forex/euro-fuelled-dollar-surge-adds-to-headwinds-facing-rupee/articleshow/122966151.cms,"https://img.etimg.com/thumb/msid-122966207,width-1200,height-630,imgsize-134516,overlay-etmarkets/articleshow.jpg",2025-07-29 04:36:08+00:00,"The Indian rupee is likely to open weaker on Tuesday, weighed down by a jump in the dollar index following a steep decline in the euro, as investors digested the implications of the recent US-EU trad… [+2168 chars]",2025-07-29,0.9956518989092729
"{'id': None, 'name': 'BusinessLine'}",PTI,Rupee falls 18 paise to 86.88 against US dollar in early trade,"At the interbank foreign exchange market, the rupee opened at 86.76 and then touched an early low of 86.88 against the American currency, registering a fall of 18 paise over its previous close",https://www.thehindubusinessline.com/markets/forex/rupee-falls-18-paise-to-8688-against-us-dollar-in-early-trade/article69867994.ece,https://bl-i.thgim.com/public/incoming/pnd40m/article69836785.ece/alternates/LANDSCAPE_1200/2025-06-10T064838Z_954602473_RC2LRCATMHPO_RTRMADP_3_INDIA-RUPEE-OUTLOOK.JPG,2025-07-29 04:33:04+00:00,"The rupee depreciated 18 paise to 86.88 against the US dollar in early trade on Tuesday as month-end dollar demand and sustained foreign fund outflows weighed on the local unit.
 Forex traders said … [+1590 chars]",2025-07-29,-0.9988622378441505
"{'id': None, 'name': 'Ndtvprofit.com'}",NDTV Profit News,Power Grid Corporation Q1 Results On July 30 - Check Key Details Here,The Power Grid Corporation of India Ltd. is set to announce the results for the first quarter of FY26 this week. It is a public sector undertaking (PSU) with Maharatna status. Power Grid Corporation is India's largest electric power transmission utility. It’s…,https://www.ndtvprofit.com/quarterly-earnings/power-grid-corporation-q1-results-on-july-30-check-key-details-here,https://media.assettype.com/bloombergquint%2F2024-12-18%2Fpdvza293%2Fpower-grid-station-electrical-distribution-statio-2023-11-27-05-05-44-utc.jpg?rect=0%2C3%2C3840%2C2016&w=1200&auto=format%2Ccompress&ogImage=true,2025-07-29 04:22:21+00:00,"Shares of Power Grid Corporation have fallen 2.20% in the past five trading sessions on the NSE. In the past month, the PSU stock has declined 2.92%. However, the stock has gained 1.15% in the past s… [+383 chars]",2025-07-29,-0.999996525973188
"{'id': None, 'name': 'Ndtvprofit.com'}",Ananya Chaudhuri,Mazagon Dock Share Price Falls To Over Three-Month Low As Q1 Profit Misses Estimates,Mazagon Dock Shipbuilders Ltd. share price hit the lowest level in over three months as the company missed net profit estimates. Its consolidated net profit declined 35% to Rs 452 crore in April–June against expectation of Rs 695 crore.,https://www.ndtvprofit.com/markets/mazagon-dock-shipbuilders-falls-over-three-month-low-as-net-profit-misses-estimates,https://media.assettype.com/bloombergquint%2F2025-07-29%2Fjzdsuts1%2Fbig-ship-dry-dock.jpg?w=1200&auto=format%2Ccompress&ogImage=true,2025-07-29 04:18:29+00:00,"Mazagon Dock Shipbuilders share price declined 5.16% to Rs 2,645.90 apiece, the lowest level since April 25. It was trading 3.98% down at Rs 2,679.00 apiece as of 9:40 a.m., as compared to a 0.02% ad… [+465 chars]",2025-07-29,0.999999380042933
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,RailTel shares in focus after Q1 profit jumps 36% YoY to Rs 66 crore,"RailTel shares: Revenue from operations rose 33% year-on-year to ₹744 crore, up from ₹558 crore in Q1 FY25. The profit after tax (PAT) is attributable to the company’s shareholders.",https://economictimes.indiatimes.com/markets/stocks/news/railtel-shares-in-focus-after-q1-profit-jumps-36-yoy-to-rs-66-crore/articleshow/122965599.cms,"https://img.etimg.com/thumb/msid-122965593,width-1200,height-630,imgsize-4924,overlay-etmarkets/articleshow.jpg",2025-07-29 03:59:34+00:00,Shares of RailTel Corporation of India will be in focus on Tuesday after the state-run telecom and infrastructure services provider reported a 36% year-on-year (YoY) rise in its consolidated net prof… [+2109 chars],2025-07-29,-5.2687296374642756e-05
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,"Sensex falls over 100 pts, Nifty below 24,700 amid US trade deal jitters","Indian equity benchmarks experienced a decline for the fourth consecutive session, influenced by uncertainties surrounding a delayed interim trade agreement with the U.S. and continuous foreign fund outflows. Weak corporate earnings further contributed to the…",https://economictimes.indiatimes.com/markets/stocks/news/sensex-falls-over-100-pts-nifty-below-24700-amid-us-trade-deal-jitters/articleshow/122965372.cms,"https://img.etimg.com/thumb/msid-122965319,width-1200,height-630,imgsize-16172,overlay-etmarkets/articleshow.jpg",2025-07-29 03:57:11+00:00,"Indian equity benchmarks opened lower for the fourth consecutive session on Tuesday, weighed down by uncertainty over a delayed interim trade deal with the United States, continued foreign fund outfl… [+4021 chars]",2025-07-29,0.9603554401546717
"{'id': None, 'name': 'Ndtvprofit.com'}",NDTV Profit News,"Tata Steel Q1 Results: Date, Share Price History, Earnings Call Schedule And More","Tata Steel Ltd. is scheduled to announce the results for the first quarter this week. The Tata Group company is a leading diversified steel producer. Its major products include cold-rolled steel, coated coal, hot-rolled steel and wire rods. It caters to segme…",https://www.ndtvprofit.com/quarterly-earnings/tata-steel-q1-results-date-share-price-history-earnings-call-schedule-and-more,https://media.assettype.com/bloombergquint%2F2025-07-29%2Ft47thotr%2FGpUEIkwXcAArVwB.jpg?w=1200&auto=format%2Ccompress&ogImage=true,2025-07-29 03:54:15+00:00,"Shares of Tata Steel have declined 2.40% in the past five trading sessions.  In the last one month, shares of the company have declined 0.10%. However, in the past six months, the metal stock has gro… [+430 chars]",2025-07-29,-0.9999962134103271
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Nikhil Agarwal,"Trent, TCS shares worst Nifty performers in 2025. Why 2 Tata stocks are down at least 25% this year","Trent’s sharp growth slowdown has prompted analyst downgrades. Nuvama cut the stock to ‘Hold’ and slashed its FY26/27 estimates and target price. HSBC trimmed its target too, citing a weaker-than-expected Q1. With both Trent and TCS under pressure, the Tata G…",https://economictimes.indiatimes.com/markets/stocks/news/trent-tcs-shares-worst-nifty-performers-in-2025-why-2-tata-stocks-are-down-at-least-25-this-year/articleshow/122965483.cms,"https://img.etimg.com/thumb/msid-122965465,width-1200,height-630,imgsize-4140,overlay-etmarkets/articleshow.jpg",2025-07-29 03:52:26+00:00,"Blue-chip stocks Trent and TCS, incidentally, both part of the revered Tata Group, have each lost over 25% so far in 2025, making them the worst-performing Nifty50 stocks this year. While IT giant TC… [+4610 chars]",2025-07-29,0.9999853138106118
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,"PNC Infratech shares in focus after Rs 2,957-crore mining contract win in Chhattisgarh","PNC Infratech shares: The project encompasses overburden removal, coal extraction through surface miners, and the loading and transportation of coal to multiple locations as part of the Gevra OCP Expansion Project. The total quoted contract value is ₹2,956.66…",https://economictimes.indiatimes.com/markets/stocks/news/pnc-infratech-shares-in-focus-after-rs-2957-crore-mining-contract-win-in-chhattisgarh/articleshow/122965426.cms,"https://img.etimg.com/thumb/msid-122965420,width-1200,height-630,imgsize-115888,overlay-etmarkets/articleshow.jpg",2025-07-29 03:49:17+00:00,Shares of PNC Infratech will be in focus on Tuesday after the infrastructure company emerged as the L1 (lowest) bidder for a mining services contract awarded by South Eastern Coalfields Limited (SECL… [+1718 chars],2025-07-29,-0.9501831084489822
"{'id': None, 'name': 'The-independent.com'}","Jacob Stolworthy,Louis Chilton,Kevin E G Perry and Adam White","Marvel: Every MCU movie ranked, worst to best","Jacob Stolworthy, Louis Chilton, Adam White and Kevin E G Perry have attempted the unenviable task of ranking every single MCU movie to date. Let the arguments commence...",https://www.the-independent.com/arts-entertainment/films/features/marvel-movies-ranked-fantastic-four-avengers-thor-b2797768.html,"https://static.the-independent.com/2025/07/23/20/24/marvel-ranked.jpeg?trim=0,0,0,0&width=1200&height=800&crop=1200:800",2025-07-29 03:30:09+00:00,"Your support helps us to tell the story
From reproductive rights to climate change to Big Tech, The Independent is on the ground when the story is developing. Whether it's investigating the financia… [+23815 chars]",2025-07-29,0.9972198944815318
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Kshitij Anand,"ETMarkets Smart Talk | FII flows may be choppy, but India’s story still intact: PNB MetLife’s Sanjay Kumar","Sanjay Kumar of PNB MetLife remains optimistic about India's growth in H2 2025, citing macroeconomic resilience and earnings visibility despite FII outflows. He highlights the IPO market's strength and evolving retail investor behavior. Kumar favors domestic-…",https://economictimes.indiatimes.com/markets/expert-view/etmarkets-smart-talk-fii-flows-may-be-choppy-but-indias-story-still-intact-pnb-metlifes-sanjay-kumar/articleshow/122949063.cms,"https://img.etimg.com/thumb/msid-122949071,width-1200,height-630,imgsize-55084,overlay-etmarkets/articleshow.jpg",2025-07-29 03:30:00+00:00,"In this edition of ETMarkets Smart Talk, Sanjay Kumar, Chief Investment Officer at PNB MetLife, shares his outlook on the Indian market as the second half of 2025 kicks off amid global volatility and… [+6651 chars]",2025-07-29,0.43569961190223694
"{'id': None, 'name': 'Biztoc.com'}",bloomberg.com,MSCI India Index Trails Emerging Market Peer In a Stark Reversal,,https://biztoc.com/x/a78e9cd9edef1193,https://biztoc.com/cdn/a78e9cd9edef1193_s.webp,2025-07-29 03:12:43+00:00,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;How will US-EU trade deal affect pharma costs? { window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Samsungs stock ris… [+756 chars]",2025-07-29,0.8823772184550762
"{'id': None, 'name': 'BusinessLine'}",Reuters,"Sensex, Nifty likely to open on a subdued note; trade deal, earnings in focus","Gift Nifty futures were trading at 24,665 points this morning, indicating that the Nifty 50 will open near Monday's close of 24,680.9",https://www.thehindubusinessline.com/markets/sensex-nifty-likely-to-open-on-a-subdued-note-trade-deal-earnings-in-focus/article69867865.ece,https://bl-i.thgim.com/public/incoming/41cvuk/article69853403.ece/alternates/LANDSCAPE_1200/PO11_Analysis.jpg,2025-07-29 02:55:47+00:00,"The equity benchmarks are set for a muted open on Tuesday amid caution over a delay in an interim trade deal with the US, sustained foreign outflows and weak earnings.
The Gift Nifty futures were tr… [+1683 chars]",2025-07-29,-0.9981104320031591
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ET Now,2 top stock recommendations from Rajesh Bhosale for near term,"Angel One's Rajesh Bhosale suggests the market may remain pressured unless it surpasses 25,000, with 24,600 as a crucial support level. While FMCG and pharma sectors offer some support, heavyweights lag.",https://economictimes.indiatimes.com/markets/expert-view/2-top-stock-recommendations-from-rajesh-bhosale-for-near-term/articleshow/122952091.cms,"https://img.etimg.com/thumb/msid-122952059,width-1200,height-630,imgsize-6228,overlay-etmarkets/articleshow.jpg",2025-07-29 02:30:00+00:00,"(What's moving Sensex and Nifty Track latest market news, stock tips, Budget 2025, Share Market on Budget 2025 and expert advice, on ETMarkets. Also, ETMarkets.com is now on Telegram. For fastest new… [+330 chars]",2025-07-29,-0.9948016016569454
"{'id': None, 'name': 'Economictimes.com'}",Economic Times,Sensex Today | Stock Market LIVE Updates: GIFT Nifty signals a negative start; Asian shares trade lower,"Sensex Today | Stock Market LIVE Updates: Indian markets ended in the red on Monday, with both the Sensex and Nifty posting losses. Weak corporate earnings and stalled India-U.S. trade talks weighed on sentiment, while IT sector layoffs and persistent foreign…",https://m.economictimes.com/markets/stocks/live-blog/bse-sensex-today-live-nifty-stock-market-updates-29-july-2025/liveblog/122963980.cms,"https://economictimes.indiatimes.com/thumb/msid-122963980,width-600,resizemode-4,imglength-1952732/markets/stocks/live-blog/bse-sensex-today-live-nifty-stock-market-updates-29-july-2025.jpg",2025-07-29 01:52:48+00:00,"Sensex Today | Stock Market LIVE Updates: Indian markets ended in the red on Monday, with both the Sensex and Nifty posting losses. Weak corporate earnings and stalled India-U.S. trade talks weighed … [+93 chars]",2025-07-29,0.9999887012264708
"{'id': None, 'name': 'BusinessLine'}","KS Badri Narayanan, Team BL","Stock Market Live Updates 29 July 2025: Stock to buy today: Cipla (₹1,571) – BUY","Sensex, Nifty Live updates on 29 July 2025: The short-term outlook is bullish for Cipla. The stock has surged over 5 per cent in the last two trading days, when the broader markets have declined sharply. The 2.6 per cent rise on Monday has taken the share pri…",https://www.thehindubusinessline.com/markets/share-market-today-nifty-sensex-live-updates-05-march-2025/article69867804.ece,https://bl-i.thgim.com/public/incoming/di6bsa/article69079701.ece/alternates/LANDSCAPE_1200/PO16_BS_Stock_growth.jpg,2025-07-29 01:30:05+00:00,"Stock Market Growth istock photo for BL
 | Photo Credit: 
 innni
Stock Market Today | Share Market Live Updates - Find here all the live updates related to Sensex, Nifty, BSE, NSE, share prices an… [+641 chars]",2025-07-29,-0.0004880419292021543
"{'id': None, 'name': 'BusinessLine'}","KS Badri Narayanan, Team BL","Stock Market Live Updates 29 July 2025: Sensex, Nifty to open on a quiet note","Sensex, Nifty Live updates on 29 July 2025: The equity benchmarks are set for a muted open on Tuesday amid caution over a delay in an interim trade deal with the US, sustained foreign outflows and weak earnings.
The Gift Nifty futures were trading at 24,665 p…",https://www.thehindubusinessline.com/markets/share-market-today-nifty-sensex-live-updates-29-july-2025/article69867804.ece,https://bl-i.thgim.com/public/incoming/di6bsa/article69079701.ece/alternates/LANDSCAPE_1200/PO16_BS_Stock_growth.jpg,2025-07-29 01:30:05+00:00,"Stock Market Today | Share Market Live Updates - Find here all the live updates related to Sensex, Nifty, BSE, NSE, share prices and Indian stock markets for 29 July 2025<li></li>
08:15 | July 29, 2… [+23327 chars]",2025-07-29,-0.9999990519753936
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,Pre-market action: Here's the trade setup for today's session,"Nifty closed lower for the third consecutive session, influenced by weakness in private banking and realty stocks. Market sentiment remains pressured by mixed Q1 earnings, continuous FII selling, and stalled progress on the India-US trade deal. Foreign portfo…",https://economictimes.indiatimes.com/markets/stocks/news/pre-market-action-heres-the-trade-setup-for-todays-session/articleshow/122963718.cms,"https://img.etimg.com/thumb/msid-122963704,width-1200,height-630,imgsize-88221,overlay-etmarkets/articleshow.jpg",2025-07-29 01:12:07+00:00,"(What's moving Sensex and Nifty Track latest market news, stock tips, Budget 2025, Share Market on Budget 2025 and expert advice, on ETMarkets. Also, ETMarkets.com is now on Telegram. For fastest new… [+330 chars]",2025-07-29,-0.9999602989337291
"{'id': None, 'name': 'Ndtvprofit.com'}",Vrathik Jain,All You Need To Know Going Into Trade On Tuesday,"Stock Market Today: India's benchmark equity indices extended their decline to the third day as weak first-quarter results from Kotak Mahindra Bank Ltd. weighed the most. The NSE Nifty 50 settled 156.1 points or 0.63% lower at 24,680.9, while the BSE Sensex s…",https://www.ndtvprofit.com/markets/stock-market-today-all-you-need-to-know-going-into-trade-on-july-29-2025,https://media.assettype.com/bloombergquint%2F2025-07-28%2F5zahllpy%2Fworkplace-of-freelancer-2025-01-31-06-36-16-utc.jpg?w=1200&auto=format%2Ccompress&ogImage=true,2025-07-29 01:07:45+00:00,"IndusInd Bank: Top Five Takeaways From Quarter Ended June
<ul><li>Adjusted margins hold up.
</li><li>Provisioning continues to remain elevated.
</li><li>Asset quality worsens sharply.
</li><li>Gr… [+8488 chars]",2025-07-29,-0.9999841220178496
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ET Bureau,Kotak Bank falls over 7% on disappointing Q1 results,"Kotak Mahindra Bank's shares plunged over 7% following disappointing Q1 results, marking the largest single-day drop in 15 months. Analysts see potential upside despite concerns over credit costs and asset quality. While brokerages maintain neutral ratings, s…",https://economictimes.indiatimes.com/markets/stocks/news/kotak-bank-falls-over-7-on-disappointing-q1-results/articleshow/122963503.cms,"https://img.etimg.com/thumb/msid-122963522,width-1200,height-630,imgsize-126594,overlay-etmarkets/articleshow.jpg",2025-07-29 00:56:32+00:00,"(What's moving Sensex and Nifty Track latest market news, stock tips, Budget 2025, Share Market on Budget 2025 and expert advice, on ETMarkets. Also, ETMarkets.com is now on Telegram. For fastest new… [+330 chars]",2025-07-29,0.999999740287917
