source,author,title,description,url,urlToImage,publishedAt,content,date,sentiment_label,sentiment_score
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,"Sensex opens flat, Nifty tops 24,800 amid US trade deal uncertainty","Indian stock markets began Wednesday with positive momentum, fueled by robust earnings from Larsen & Toubro, boosting investor confidence. However, the upward movement was limited as investors exercised caution in anticipation of the U.S. Federal Reserve's up…",https://economictimes.indiatimes.com/markets/stocks/news/sensex-opens-flat-nifty-tops-24800-amid-us-trade-deal-uncertainty/articleshow/122988159.cms,"https://img.etimg.com/thumb/msid-122988118,width-1200,height-630,imgsize-16174,overlay-etmarkets/articleshow.jpg",2025-07-30 04:02:28+00:00,"Indian equity benchmarks opened flat on Wednesday, supported by strong earnings from infrastructure major Larsen &amp; Toubro, which lifted market sentiment. However, gains remained limited amid caut… [+1448 chars]",2025-07-30,negative,-0.4041445553302765
"{'id': None, 'name': 'BusinessLine'}",BL Research Bureau,"Day Trading Guide for 30 July, 2025: Intraday supports, resistances for Nifty50 stocks","Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI",https://www.thehindubusinessline.com/portfolio/day-trading-guide/day-trading-guide-for-july-30/article69869204.ece,https://bl-i.thgim.com/public/incoming/9dyc05/article66812369.ece/alternates/LANDSCAPE_1200/buy-hold-sell.jpg,2025-07-30 00:56:00+00:00,"Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI. B… [+2333 chars]",2025-07-30,negative,-0.9999958394146233
"{'id': None, 'name': 'Ndtvprofit.com'}",NDTV Profit News,"Sterlite Technologies Targets 18–20% Ebitda Margin In FY26, Led By Enhanced Capacity Utilisation",The company wants to take its factory utilisation to over 70% in FY26 from 45-50% currently.,https://www.ndtvprofit.com/quarterly-earnings/sterlite-technologies-targets-1820-ebitda-margin-in-fy26-led-by-enhanced-capacity-utilisation,https://media.assettype.com/bloombergquint%2F2024-10-30%2F3etecweh%2FSterlite%20Technologies%20Ltd.%20a%20leading%20global%20optical%20fiber%20cable%20and%20digital%20solutions%20company%20in%20Aurangabad%20(Photo%20Vijay%20Sartape%20BQ%20Prime)%20(2).jpeg?w=1200&auto=format%2Ccompress&ogImage=true,2025-07-30 00:47:34+00:00,"Agarwal identified data centres as a critical growth area, with Indias data centre capacity projected to triple from one gigawatt to three gigawatts by 2030. Sterlite Technologies has launched a dedi… [+1522 chars]",2025-07-30,neutral,-7.289589820658193e-09
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Riya Sharma,Ahead of Market: 10 things that will decide stock market action on Wednesday,"Indian markets rebounded on Tuesday, ending a three-day losing streak, driven by value buying in Reliance and HDFC Bank. Broader sentiment remained cautious due to FPI outflows and US trade deal uncertainty. Most sectors ended higher, led by metals and pharma.",https://economictimes.indiatimes.com/markets/stocks/news/ahead-of-market-10-things-that-will-decide-stock-market-action-on-wednesday/articleshow/122979681.cms,"https://img.etimg.com/thumb/msid-122979703,width-1200,height-630,imgsize-110642,overlay-etmarkets/articleshow.jpg",2025-07-29 15:32:34+00:00,"The Indian market ended in the green on Tuesday, snapping a three-day losing streak, as value buying in blue-chip names like Reliance Industries and HDFC Bank buoyed sentiment and tempered concerns o… [+5795 chars]",2025-07-29,negative,-0.9999958269321496
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,"Sensex falls over 100 pts, Nifty below 24,700 amid US trade deal jitters","Indian equity benchmarks experienced a decline for the fourth consecutive session, influenced by uncertainties surrounding a delayed interim trade agreement with the U.S. and continuous foreign fund outflows. Weak corporate earnings further contributed to the…",https://economictimes.indiatimes.com/markets/stocks/news/sensex-falls-over-100-pts-nifty-below-24700-amid-us-trade-deal-jitters/articleshow/122965372.cms,"https://img.etimg.com/thumb/msid-122965319,width-1200,height-630,imgsize-16172,overlay-etmarkets/articleshow.jpg",2025-07-29 03:57:11+00:00,"Indian equity benchmarks opened lower for the fourth consecutive session on Tuesday, weighed down by uncertainty over a delayed interim trade deal with the United States, continued foreign fund outfl… [+4021 chars]",2025-07-29,positive,0.9603554401546717
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Nikhil Agarwal,"Trent, TCS shares worst Nifty performers in 2025. Why 2 Tata stocks are down at least 25% this year","Trent’s sharp growth slowdown has prompted analyst downgrades. Nuvama cut the stock to ‘Hold’ and slashed its FY26/27 estimates and target price. HSBC trimmed its target too, citing a weaker-than-expected Q1. With both Trent and TCS under pressure, the Tata G…",https://economictimes.indiatimes.com/markets/stocks/news/trent-tcs-shares-worst-nifty-performers-in-2025-why-2-tata-stocks-are-down-at-least-25-this-year/articleshow/122965483.cms,"https://img.etimg.com/thumb/msid-122965465,width-1200,height-630,imgsize-4140,overlay-etmarkets/articleshow.jpg",2025-07-29 03:52:26+00:00,"Blue-chip stocks Trent and TCS, incidentally, both part of the revered Tata Group, have each lost over 25% so far in 2025, making them the worst-performing Nifty50 stocks this year. While IT giant TC… [+4610 chars]",2025-07-29,positive,0.9999853138106118
"{'id': None, 'name': 'Ndtvprofit.com'}",NDTV Profit News,Laurus Labs Targets 55-60% Gross Margin In FY26 On CDMO Expansion,"Laurus Labs is targeting gross margins of 55% to 60% in FY26, led by an increase in revenue generated from the Contract Development and Manufacturing Organisation (CDMO) business. Speaking to NDTV Profit on Monday, the leading pharma company’s founder and CEO…",https://www.ndtvprofit.com/quarterly-earnings/laurus-labs-targets-55-60-gross-margin-in-fy26-on-cdmo-expansion,https://media.assettype.com/bloombergquint%2F2024-01%2F3d71cc7e-4711-4449-8db0-80c53b5e6a6a%2FLaurus_Labs_X.jfif?w=1200&auto=format%2Ccompress&ogImage=true,2025-07-29 01:13:31+00:00,"Highlighting the trajectory of the growth of CDMO revenue, he said the business vertical has grown from Rs 500 crore in FY21 to Rs 500 crore per quarter currently.
When asked about the potential for… [+1057 chars]",2025-07-29,neutral,-2.0523516344184145e-06
"{'id': None, 'name': 'BusinessLine'}",BL Research Bureau,"Day Trading Guide for 29 July, 2025: Intraday supports, resistances for Nifty50 stocks","Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS and SBI.",https://www.thehindubusinessline.com/portfolio/day-trading-guide/day-trading-guide-for-july-29/article69865191.ece,https://bl-i.thgim.com/public/incoming/u10keh/article69266039.ece/alternates/LANDSCAPE_1200/CCI_UDHindu_KSL_U8R45AOOD_R1528725515_5_ac09a597-d8df-4552-b78b-d9fa74b25d48.jpg,2025-07-29 00:43:00+00:00,"Day Trading Guide gives you the key intraday supports and resistances to watch out for on the Nifty Futures and other widely traded stocks such as Reliance Industries, Infosys, HDFC Bank, TCS, SBI. B… [+2339 chars]",2025-07-29,negative,-0.9999960545528666
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,Stock market update: FMCG stocks down as market falls,The 30-share BSE Sensex closed  down  572.07 points at 80891.02,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fmcg-stocks-down-as-market-falls/articleshow/122953767.cms,"https://img.etimg.com/thumb/msid-81699096,width-1200,height-630,imgsize-194573,overlay-etmarkets/articleshow.jpg",2025-07-28 11:46:32+00:00,"NEW DELHI: FMCG shares closed lower in the Monday's session. Tasty Bite Eatables Ltd.(up 6.15%), Prataap Snacks Ltd.(up 4.11%), Dabur India Ltd.(up 2.09%), Varun Beverages Ltd.(up 2.02%), Hindustan U… [+1574 chars]",2025-07-28,positive,0.9651656225323677
"{'id': None, 'name': 'Economictimes.com'}",ET Online,"Breakout Stocks: How to trade Laurus Labs, Torrent Pharma and Fortis Healthcare that hit a fresh 52-week high?","Indian market closed in the red for the third consecutive day in a row on Monday. The BSE Sensex fell more than 500 points while the Nifty50 closed below 24700.​Stocks that hit a fresh 52-week high include names like Laurus Labs, which rose more than 6%, Torr…",https://m.economictimes.com/markets/stocks/news/breakout-stocks-how-to-trade-laurus-labs-torrent-pharma-and-fortis-healthcare-that-hit-a-fresh-52-week-high/market-summary/slideshow/122953629.cms,"https://img.etimg.com/thumb/msid-122953629,width-1070,height-580,overlay-etmarkets/slideshow.jpg",2025-07-28 11:35:45+00:00,"The stock gave a trendline breakout with a strong bullish green candle, gaining 51 points or 6.15% today, with volumes above the 50-day moving average.
Since the stock has given the breakout, the po… [+384 chars]",2025-07-28,negative,-0.9998026073080837
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,Stock market update: Power stocks down as market falls,The 30-share BSE Sensex closed  down  572.07 points at 80891.02,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-down-as-market-falls/articleshow/122952269.cms,"https://img.etimg.com/thumb/msid-82697732,width-1200,height-630,imgsize-184256,overlay-etmarkets/articleshow.jpg",2025-07-28 10:35:47+00:00,"NEW DELHI: Power shares closed lower in the Monday's session. ACME Solar Holdings Ltd.(up 8.84%), Adani Green Energy Ltd.(up 2.87%), Karma Energy Ltd.(up 2.39%), Power and Instrumentation(Gujarat)Ltd… [+1628 chars]",2025-07-28,positive,0.9966113185510039
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,Sensex falls! But these stocks rallied over 15% on BSE in today's trade,"In the Nifty50 index, 16 stocks closed in the green, while 34 stocks ended in the red.",https://economictimes.indiatimes.com/markets/stocks/stock-watch/sensex-falls-but-these-stocks-rallied-over-15-on-bse-in-todays-trade/articleshow/122952145.cms,"https://img.etimg.com/thumb/msid-83791939,width-1200,height-630,imgsize-992893,overlay-etmarkets/articleshow.jpg",2025-07-28 10:30:24+00:00,"(What's moving Sensex and Nifty Track latest market news, stock tips, Budget 2025, Share Market on Budget 2025 and expert advice, on ETMarkets. Also, ETMarkets.com is now on Telegram. For fastest new… [+330 chars]",2025-07-28,negative,-0.9841986540704966
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,Stock market update: Power stocks up as market falls,The 30-share BSE Sensex was  down  149.73 points at 81313.36,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-up-as-market-falls/articleshow/122946363.cms,"https://img.etimg.com/thumb/msid-83771694,width-1200,height-630,imgsize-185726,overlay-etmarkets/articleshow.jpg",2025-07-28 05:45:19+00:00,"NEW DELHI: Power stocks were trading higher on Monday at 11:14AM ACME Solar Holdings Ltd.(up 7.79%), Energy Development Company Ltd.(up 3.86%), Jaiprakash Power Ventures Ltd.(up 3.09%), NTPC Green En… [+1628 chars]",2025-07-28,negative,-0.780117124064418
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,Stock market update: Fertilisers stocks down as market falls,The 30-share BSE Sensex was  down  154.36 points at 81308.73,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-down-as-market-falls/articleshow/122946225.cms,"https://img.etimg.com/thumb/msid-82697732,width-1200,height-630,imgsize-184256,overlay-etmarkets/articleshow.jpg",2025-07-28 05:38:58+00:00,"NEW DELHI: Fertilisers stocks were trading lower on Monday at 11:08AM Agro Phos India Ltd.(up 4.64%), Paradeep Phosphates Ltd.(up 4.62%), Mangalore Chemicals &amp; Fertilizers Ltd.(up 2.78%), Zuari A… [+1822 chars]",2025-07-28,positive,0.9194811172783375
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,Stock market update: Nifty IT index falls 0.38% in a weak market,The Nifty IT index was trading 0.38 per cent  down  at 35489.3.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-it-index-falls-0-38-in-a-weak-market/articleshow/122946103.cms,"https://img.etimg.com/thumb/msid-83800143,width-1200,height-630,imgsize-287158,overlay-etmarkets/articleshow.jpg",2025-07-28 05:33:09+00:00,"NEW DELHI: The Nifty IT index traded negative around 11:02AM(IST)on Monday in a weak market. MphasiS Ltd.(up 3.38 per cent), Coforge Ltd.(up 1.77 per cent), Oracle Financial Services Software Ltd.(up… [+1115 chars]",2025-07-28,positive,0.9999925317015368
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,Stock market update: Nifty Auto index advances 0.27% in a weak market,The Nifty Auto index was trading 0.27 per cent  up  at 23845.85.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-auto-index-advances-0-27-in-a-weak-market/articleshow/122945994.cms,"https://img.etimg.com/thumb/msid-83549420,width-1200,height-630,imgsize-22674,overlay-etmarkets/articleshow.jpg",2025-07-28 05:27:45+00:00,"NEW DELHI: The Nifty Auto index traded positive around 10:57AM(IST)on Monday in a weak market. Ashok Leyland Ltd.(up 1.69 per cent), TVS Motor Company Ltd.(up 1.43 per cent), Samvardhana Motherson In… [+1054 chars]",2025-07-28,positive,0.9999757297841825
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,Stock market update: Nifty Bank index falls 0.03% in an upbeat market,The Nifty Bank index was trading 0.03 per cent  down  at 56511.1.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-bank-index-falls-0-03-in-an-upbeat-market/articleshow/122945581.cms,"https://img.etimg.com/thumb/msid-83800143,width-1200,height-630,imgsize-287158,overlay-etmarkets/articleshow.jpg",2025-07-28 05:04:49+00:00,"NEW DELHI: The Nifty Bank index traded negative around 10:33AM(IST)on Monday in an upbeat market. Canara Bank(up 1.66 per cent), ICICI Bank Ltd.(up 0.88 per cent), HDFC Bank Ltd.(up 0.69 per cent), B… [+1042 chars]",2025-07-28,neutral,-0.001476798750445596
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,Stock market update: Mining stocks down as market rises,The 30-share BSE Sensex was  up  52.7 points at 81515.79,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-down-as-market-rises/articleshow/122945488.cms,"https://img.etimg.com/thumb/msid-83772708,width-1200,height-630,imgsize-284734,overlay-etmarkets/articleshow.jpg",2025-07-28 04:58:28+00:00,"NEW DELHI: Mining stocks were trading lower on Monday at 10:28AM Aro Granite Industries Ltd.(up 2.16%), The Orissa Minerals Development Company Ltd.(up 1.48%), Sandur Manganese &amp; Iron Ores Ltd.(u… [+1389 chars]",2025-07-28,positive,0.9975530233932659
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,Stock market update: FMCG stocks up as market falls,The 30-share BSE Sensex was  down  88.45 points at 81374.64,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fmcg-stocks-up-as-market-falls/articleshow/122945119.cms,"https://img.etimg.com/thumb/msid-83804572,width-1200,height-630,imgsize-297423,overlay-etmarkets/articleshow.jpg",2025-07-28 04:40:52+00:00,"NEW DELHI: FMCG stocks were trading higher on Monday at 10:10AM Gopal Snacks Ltd.(up 2.33%), Marico Ltd.(up 1.84%), Varun Beverages Ltd.(up 1.70%), Dodla Dairy Ltd.(up 1.43%), Colgate-Palmolive(India… [+1607 chars]",2025-07-28,negative,-0.9645015466485347
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,"Sensex falls over 200 pts, Nifty below 24,750 as IT stocks drag on tariff worries","Indian equity markets began the week on a negative note due to concerns surrounding trade negotiations with the U.S. and disappointing financial results from Kotak Mahindra Bank. The Sensex and Nifty50 both experienced declines in early trading, with Kotak Ma…",https://economictimes.indiatimes.com/markets/stocks/news/sensex-falls-over-200-pts-nifty-below-24750-as-it-stocks-drag-on-tariff-worries/articleshow/122944250.cms,"https://img.etimg.com/thumb/msid-122944398,width-1200,height-630,imgsize-86810,overlay-etmarkets/articleshow.jpg",2025-07-28 03:58:42+00:00,"Indian equity benchmark indices opened lower on Monday, as uncertainty over trade talks with the U.S. and weaker-than-expected earnings from Kotak Mahindra Bank dampened investor sentiment.The BSE Se… [+1247 chars]",2025-07-28,positive,0.9999937190802939
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ET CONTRIBUTORS,"July 29 could be the game changer – stay tuned for trend reversal, says Harshubh Shah","The Indian equity market faced its fourth consecutive week of losses, with the Nifty50 index declining by 0.5% due to persistent FPI selling. A potential reversal is expected around July 29, which could signal a short-term top or bottom. Time-based analytics …",https://economictimes.indiatimes.com/markets/stocks/news/july-29-could-be-the-game-changer-stay-tuned-for-trend-reversal-says-harshubh-shah/articleshow/122943727.cms,"https://img.etimg.com/thumb/msid-122943743,width-1200,height-630,imgsize-80448,overlay-etmarkets/articleshow.jpg",2025-07-28 02:59:50+00:00,"The Indian equity market continued to face headwinds, ending in the red for the fourth consecutive week. The benchmark Nifty50 index slipped 0.5% during the week ended July 25, 2025, weighed down by … [+3207 chars]",2025-07-28,negative,-0.9968947188463062
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Kshitij Anand,"Breakout Stocks: How to trade Torrent Pharma, SBI Life and eClexr that hit fresh 52-week high?","Indian markets closed negatively for the second straight day, with the BSE Sensex dropping over 700 points and the Nifty50 falling below 24900. Healthcare saw buying interest, while oil & gas, power, utilities, and capital goods experienced selling pressure. …",https://economictimes.indiatimes.com/markets/stocks/news/breakout-stocks-how-to-trade-torrent-pharma-sbi-life-and-eclexr-that-hit-fresh-52-week-high/articleshow/122943163.cms,"https://img.etimg.com/thumb/msid-122943206,width-1200,height-630,imgsize-407012,overlay-etmarkets/articleshow.jpg",2025-07-28 02:18:24+00:00,"The Indian market closed in the red for the second consecutive day in a row on Friday. The BSE Sensex fell more than 700 points while the Nifty50 closed below 24900.Sectorally, buying was seen in hea… [+2721 chars]",2025-07-28,negative,-0.999942435977573
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Nikhil Agarwal,Heavy short exposure in Nifty stocks can be a contra indicator: Anand James,"About 66% of Nifty50 stocks expiring in the week ahead have short buildup, and 86% of August series constituents have also seen similar positioning which could act as a contrarian indicator and potentially trigger a bounce back, says Anand James, Chief Market…",https://economictimes.indiatimes.com/markets/expert-view/heavy-short-exposure-in-nifty-stocks-can-be-a-contra-indicator-anand-james/articleshow/122932981.cms,"https://img.etimg.com/thumb/msid-122933017,width-1200,height-630,imgsize-37394,overlay-etmarkets/articleshow.jpg",2025-07-27 07:38:13+00:00,"About 66% of Nifty50 stocks expiring in the week ahead have short buildup, and 86% of August series constituents have also seen similar positioning which could act as a contrarian indicator and poten… [+5505 chars]",2025-07-27,negative,-0.9365886971354485
"{'id': None, 'name': 'Economictimes.com'}",TIL Creatives,Domestic vs Global: International mutual funds take lead with up to 6% weekly returns,International mutual funds outshone their Indian counterparts and offered up to 6% weekly returns last week (July 21 to July 25). Here is a detailed breakup of the top 10 performers (Data Source: ACE MF) Weekly review,https://m.economictimes.com/mf/analysis/domestic-vs-global-international-mutual-funds-take-lead-with-up-to-6-weekly-returns/weekly-review/slideshow/122932319.cms,"https://img.etimg.com/thumb/msid-122932319,width-1070,height-580,overlay-etwealthmutualfunds/slideshow.jpg",2025-07-27 06:18:11+00:00,"Jul 27, 2025, 11:58:06 AM IST
International mutual funds outshone their Indian counterparts and offered up to 6% weekly returns last week (July 21 to July 25). Here is a detailed breakup of the top … [+1170 chars]",2025-07-27,neutral,-0.026193804854983682
