title,publishedAt,date,sentiment
"Market Wrap: Sensex adds 63 points, Nifty above 25,200 as PSU banks, IT stocks lift D-Street",2025-07-16 10:09:31+00:00,2025-07-16,-1.640006243519565e-05
Caitlin Clark leaves Fever's win in tears as she appears to suffer injury,2025-07-16 09:59:46+00:00,2025-07-16,0.9989624240988633
JioBlackRock Asset Management gets Sebi's nod to launch 4 mutual fund schemes,2025-07-16 09:52:03+00:00,2025-07-16,-0.9996821460517822
"Mutual Funds bet big on 9 microcaps stocks, 2 turn multibaggers in CY25",2025-07-16 09:19:29+00:00,2025-07-16,-0.9999706612279624
"Nifty may hit 26,889 in a year: PL Capital’s top 17 stock ideas to ride the rally",2025-07-16 08:59:47+00:00,2025-07-16,-0.0005936709967500065
ITC Hotels Q1 Results: Cons PAT jumps 54% YoY to Rs 133 crore; revenue advances 15%,2025-07-16 08:41:17+00:00,2025-07-16,-2.8740419324435607e-06
"Sectoral churn here to stay, focus on consumer-centric themes: Hari Shyamsunder",2025-07-16 08:32:40+00:00,2025-07-16,-0.9994824748428073
"SBI board approves fundraising of up to Rs 20,000 crore via bonds",2025-07-16 08:13:14+00:00,2025-07-16,-0.9999774383472868
"Sensex, Nifty 50 swing amid earnings jitters; SBI, Nestle lead gainers, auto stocks lag",2025-07-16 08:12:00+00:00,2025-07-16,0.9901956609101035
The road to returns: Why cheaper isn’t always better in passive funds or in life,2025-07-16 08:01:52+00:00,2025-07-16,-0.9875691379420459
Luxury development boom stokes jump in Indian real estate shares,2025-07-16 07:33:25+00:00,2025-07-16,-0.06784129270818084
Gmail now makes setting up an appointment much easier for everyone,2025-07-16 06:32:37+00:00,2025-07-16,-0.00896770495455712
JioBlackRock Launches Four New Mutual Funds - Three In Equity For First Time,2025-07-16 06:19:03+00:00,2025-07-16,-0.999919943698842
Stock market update: Nifty Bank index advances 0.02% in a weak market,2025-07-16 05:59:46+00:00,2025-07-16,0.9999476152661373
Share market update: Most active stocks on D-Street today in terms of volume,2025-07-16 05:54:31+00:00,2025-07-16,-0.999996763389845
MFs’ June Picks: 12 smallcap stocks rally up to 75% in just over a month,2025-07-16 05:49:18+00:00,2025-07-16,-0.16750001411128324
Stock market update: Stocks that hit 52-week lows on NSE,2025-07-16 05:44:04+00:00,2025-07-16,-0.9999180777922447
Stock market update: Sugar stocks up as market falls,2025-07-16 05:38:51+00:00,2025-07-16,-0.9835199595836457
Stock market update: Nifty IT index advances 0.14% in a weak market,2025-07-16 05:33:29+00:00,2025-07-16,0.9999845517240828
Stock market update: Nifty Realty index advances 0.27% in a weak market,2025-07-16 05:28:14+00:00,2025-07-16,0.9998446412027988
"EEVblog 1695 – Mailbag: Robin RCD Tester, PCB Book, USB Knob, Geekom IT12 Mini PC",2025-07-16 05:27:59+00:00,2025-07-16,-0.999969536072058
"Nifty Bank Prediction today – Jul 16, 2025: Index may consolidate, stay out",2025-07-16 05:23:20+00:00,2025-07-16,-0.9999874731411182
Stock market update: Mining stocks up as market falls,2025-07-16 05:22:47+00:00,2025-07-16,-0.927168727881508
Stock market update: Stocks that hit 52-week highs on NSE,2025-07-16 05:17:29+00:00,2025-07-16,-0.9999317656329367
Stock market update: Nifty Pharma index falls 0.28% in a weak market,2025-07-16 05:11:03+00:00,2025-07-16,0.999994486191099
"Nifty Prediction Today – July 16, 2025: Nifty 50 July Futures: Can go either way. Stay out",2025-07-16 05:10:31+00:00,2025-07-16,-0.9998587607187801
Rupee falls 22 paise to 85.98 against US dollar in early trade,2025-07-16 05:06:37+00:00,2025-07-16,-0.9997336702945177
Stock market update: Fertilisers stocks down as market falls,2025-07-16 05:05:46+00:00,2025-07-16,0.9194811172783375
"Tata Communications Q1 Results: Date, Share Price History, Earnings Call Schedule And More",2025-07-16 05:05:10+00:00,2025-07-16,-0.9999963455479133
Stock market update: Nifty Auto index falls 0.81% in a weak market,2025-07-16 05:00:31+00:00,2025-07-16,0.9999967387653896
Stock market update: Power stocks up as market falls,2025-07-16 04:50:03+00:00,2025-07-16,-0.780117124064418
"Sensex, Nifty 50 slip marginally amid cautious trade, eyes on earnings & US trade talks",2025-07-16 04:45:22+00:00,2025-07-16,0.978713852353394
Sensex falls! But these stocks are up over 10% on BSE,2025-07-16 04:44:42+00:00,2025-07-16,-0.3356605819426477
Sensex falls! These stocks are down 5% or more on BSE,2025-07-16 04:39:28+00:00,2025-07-16,0.9953338650520891
Sensex falls! But these stocks are up over 15% on BSE,2025-07-16 04:34:19+00:00,2025-07-16,-0.23492493224330246
Rupee falls 22 paise to 85.98 against US dollar in early trade,2025-07-16 04:31:51+00:00,2025-07-16,-0.9997336702945177
"Mutual funds dump Rs 1,700 crore in 9 defence stocks. Too expensive to buy or smart exit?",2025-07-16 04:31:33+00:00,2025-07-16,0.9988870308734477
Share market update: Most active stocks of the day in terms of total traded value,2025-07-16 04:29:07+00:00,2025-07-16,-0.9999931379247755
"Positive on auto, expect rate cuts to revive PV, two-wheeler sales: Varun Goel",2025-07-16 04:25:27+00:00,2025-07-16,-2.2547541611572797e-10
"Sensex falls over 150 pts, Nifty below 25,150; auto, metal stocks top drags",2025-07-16 04:03:13+00:00,2025-07-16,0.9999573848645014
Sensex gains after 4-day losing streak,2025-07-16 03:38:27+00:00,2025-07-16,-7.607994234604121e-10
"HDFC Bank to mull bonus issue, special interim dividend on July 19",2025-07-16 03:32:50+00:00,2025-07-16,-0.9998282052911236
"ETMarkets Smart Talk: From quality to timing – here is closer look at QUEST framework powering stock picks at Quest investment, says Rajkumar",2025-07-16 03:30:00+00:00,2025-07-16,-0.9999358442019002
"Swan Energy, Apar Industries among 6 stocks tht rose above VWAP on July 15",2025-07-16 03:24:36+00:00,2025-07-16,-0.9999671269506507
These 9 Nifty stocks showing RSI Trending Up on July 15,2025-07-16 03:15:27+00:00,2025-07-16,-0.9897147256124299
"Indonesia launches 5-year US dollar Islamic bond, 10-year green sukuk, term sheet shows",2025-07-16 03:03:36+00:00,2025-07-16,-0.9999984863835607
Show HN: Longplay comes to the Mac – developer's commentary,2025-07-16 02:58:25+00:00,2025-07-16,-0.999873295899306
2 top stock picks from Vinay Rajani for near term,2025-07-16 02:31:00+00:00,2025-07-16,-0.011607582528995408
Fractal shareholders raise $172 mn in pre-IPO secondary deal,2025-07-16 02:02:21+00:00,2025-07-16,-0.9898424561806678
Sensex Today | Stock Market LIVE Updates: GIFT Nifty signals a negative start; Asian shares trade lower,2025-07-16 01:49:04+00:00,2025-07-16,0.9999887012264708
‘I Don’t Throw a Cutter!’ Mic’d Up Clayton Kershaw Rejects Broadcaster’s Pitch Request Mid-Windup During All-Star Game,2025-07-16 01:47:22+00:00,2025-07-16,-0.995924408081919
5 reasons why I still prefer Perplexity over every other AI chatbot,2025-07-16 01:38:00+00:00,2025-07-16,-0.9898565574549139
Stock Market Live Updates 16 July 2025: Stock to buy today: HDFC Asset Management Company,2025-07-16 01:04:18+00:00,2025-07-16,-0.13923541866097366
What Jane Street ban means for our markets,2025-07-16 01:00:00+00:00,2025-07-16,-0.9992278326244559
"Day Trading Guide for July 16, 2025: Intraday supports, resistances for Nifty50 stocks",2025-07-16 00:30:00+00:00,2025-07-16,-0.9999941937558106
All You Need To Know Going Into Trade On Wednesday,2025-07-16 00:30:00+00:00,2025-07-16,-0.9999872062971917
What makes passive funds a smart choice for long-term investors?,2025-07-16 00:29:35+00:00,2025-07-16,-0.008059332212724257
India's wealthy investors turn to crypto assets as traditional markets stagnate,2025-07-15 23:55:46+00:00,2025-07-15,0.09668341279029846
"Financials, pharma, and select few lead the pack as funds turn cautious",2025-07-15 18:47:40+00:00,2025-07-15,0.9373381659388542
2025 Recruiting: Ty Haywood,2025-07-15 18:12:29+00:00,2025-07-15,-0.9997597355977632
Our biggest questions about ChromeOS and Android merging,2025-07-15 17:43:48+00:00,2025-07-15,0.9814958665519953
Camp Snap Screen-Free Digital Camera,2025-07-15 16:37:35+00:00,2025-07-15,-0.9987928397895303
Camp Snap Screen-Free Digital Camera,2025-07-15 16:37:35+00:00,2025-07-15,-0.9987928397895303
Sword of the Demon Hunter ‒ Episode 14,2025-07-15 16:30:00+00:00,2025-07-15,-0.9997132946446072
Ahead of Market: 10 things that will decide stock market action on Wednesday,2025-07-15 16:00:38+00:00,2025-07-15,-0.9999958269321496
Shave $320 Off the Shark Matrix Plus and Let This Handy Robot Handle Your Floors,2025-07-15 15:47:43+00:00,2025-07-15,-0.9991963881184347
